obs,action
"[0.5, 0.0, 0.01, 0.0, 0.02, 0.02, 0.01, 0.02, 0.0, 0.0, 0.01, 0.02, 0.03, 0.02, 0.6666666666666666, 0.716992064629063, 0.6471136937414156, 0.5465124135495523, 0.8278687985380315, 0.8649958158525379]","[7, 0, 5, 3, 2, 8, 9, 4, 6, 1, 12, 11, 10]"
"[0.5, 0.0, 0.01, 0.0, 0.02, 0.03, 0.01, 0.02, 0.0, 0.0, 0.01, 0.03, 0.03, 0.02, 0.0, 0.45365572495619233, 0.5365961766132824, 0.5, 0.5, 0.9783532578954833]","[7, 0, 5, 10, 3, 2, 8, 9, 4, 6, 1, 12, 11]"
"[0.5, 0.0, 0.01, 0.0, 0.03, 0.02, 0.01, 0.02, 0.0, 0.0, 0.01, 0.03, 0.04, 0.02, 0.0, 0.8319672783899629, 0.5, 0.4911987902012299, 0.9329558714834308, 0.9430641520494862]","[7, 3, 5, 0, 9, 2, 8, 6, 1, 11, 10, 12, 4]"
"[0.5, 0.0, 0.01, 0.0, 0.03, 0.02, 0.01, 0.02, 0.0, 0.0, 0.01, 0.03, 0.03, 0.02, 0.16666666666666666, 0.55748883914949, 0.5, 0.6244208675357186, 0.8458932841922876, 0.856001564758343]","[7, 5, 0, 4, 9, 2, 8, 6, 1, 10, 3, 12, 11]"
"[0.5, 0.0, 0.01, 0.0, 0.02, 0.02, 0.01, 0.02, 0.0, 0.0, 0.01, 0.03, 0.03, 0.02, 0.16666666666666666, 0.8404259680447316, 0.5904684120682896, 0.810776919941801, 0.8119408287248586, 0.9545090829941091]","[7, 5, 0, 4, 9, 2, 8, 6, 1, 11, 10, 12, 3]"
"[0.5, 0.0, 0.01, 0.0, 0.02, 0.02, 0.01, 0.02, 0.0, 0.0, 0.01, 0.02, 0.03, 0.02, 0.3333333333333333, 0.46537985606373883, 0.7256741728134648, 0.5154739455060087, 0.7357824533795201, 0.8795146164318283]","[7, 0, 5, 3, 2, 8, 9, 4, 6, 1, 12, 11, 10]"
"[0.5, 0.0, 0.01, 0.01, 0.02, 0.03, 0.01, 0.02, 0.0, 0.0, 0.01, 0.02, 0.02, 0.02, 0.3333333333333333, 0.8717536909943439, 0.6870175931878475, 0.6769093126217922, 0.8307497562401557, 0.9284342876271728]","[7, 0, 5, 10, 3, 2, 8, 9, 4, 6, 1, 12, 11]"
"[0.5, 0.0, 0.01, 0.01, 0.02, 0.02, 0.01, 0.02, 0.0, 0.0, 0.01, 0.02, 0.03, 0.02, 0.5, 0.6034138286596734, 0.8406350711073333, 0.5891100961019526, 0.5992183766680079, 0.7429505397203161]","[7, 0, 11, 10, 5, 3, 8, 9, 6, 1, 12, 2, 4]"
"[0.5, 0.0, 0.01, 0.0, 0.02, 0.03, 0.02, 0.03, 0.0, 0.0, 0.02, 0.02, 0.03, 0.03, 0.6666666666666666, 0.8391953689493808, 0.9496569088619856, 0.5946567548855513, 0.6688779740784434, 0.6923412862725684]","[7, 0, 10, 5, 3, 8, 9, 4, 6, 1, 12, 11, 2]"
"[0.5, 0.0, 0.01, 0.0, 0.02, 0.03, 0.02, 0.03, 0.0, 0.0, 0.02, 0.02, 0.03, 0.02, 0.0, 0.4645942943058496, 0.5, 0.5264923906222316, 0.5758235795185636, 0.6346090378192093]","[10, 3, 7, 0, 2, 8, 1, 11, 5, 4, 9, 6, 12]"
"[0.5, 0.0, 0.01, 0.0, 0.02, 0.03, 0.03, 0.02, 0.0, 0.0, 0.02, 0.03, 0.03, 0.02, 0.0, 0.7654438368918003, 0.5, 0.5, 0.5397216344082494, 0.5985070927088952]","[10, 3, 7, 0, 2, 8, 1, 11, 12, 5, 4, 9, 6]"
"[0.5, 0.0, 0.01, 0.0, 0.02, 0.03, 0.02, 0.03, 0.0, 0.0, 0.02, 0.03, 0.03, 0.02, 0.16666666666666666, 0.40588638689224393, 0.5, 0.5, 0.521653986708842, 0.6331102076094146]","[3, 7, 0, 6, 2, 8, 1, 11, 10, 12, 4, 9, 5]"
"[0.5, 0.0, 0.01, 0.0, 0.03, 0.03, 0.02, 0.02, 0.0, 0.0, 0.02, 0.03, 0.04, 0.02, 0.16666666666666666, 0.6843552211878338, 0.5, 0.4882377265933712, 0.5, 0.5996939474939438]","[3, 7, 0, 2, 8, 1, 11, 10, 12, 5, 4, 9, 6]"
"[0.5, 0.0, 0.01, 0.0, 0.03, 0.03, 0.02, 0.02, 0.0, 0.0, 0.02, 0.04, 0.03, 0.02, 0.3333333333333333, 0.413837715395393, 0.5, 0.5121560481890367, 0.6273851776181698, 0.8971286957629718]","[7, 0, 6, 2, 8, 10, 1, 3, 12, 4, 5, 9, 11]"
"[0.5, 0.0, 0.01, 0.0, 0.03, 0.03, 0.03, 0.02, 0.0, 0.0, 0.02, 0.03, 0.03, 0.02, 0.3333333333333333, 0.7114738041489185, 0.5, 0.5916688469677467, 0.6930561648117145, 0.8614123651125487]","[7, 0, 6, 2, 8, 11, 1, 3, 12, 4, 5, 9, 10]"
"[0.5, 0.0, 0.01, 0.0, 0.03, 0.03, 0.02, 0.02, 0.0, 0.0, 0.02, 0.03, 0.03, 0.02, 0.5, 0.3471665823311791, 0.6167730314298433, 0.5104259502722663, 0.7851292317306775, 0.900906215730555]","[7, 0, 6, 2, 8, 11, 10, 1, 3, 12, 4, 9, 5]"
