obs,action
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.5, 0.5054424527531106, 0.7368773553310529, 0.5192229603430678, 0.8346125471937558, 0.8992339399046614]","[10, 12, 0, 1, 5, 7, 6, 2, 9, 8, 11, 3, 4]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.08, 0.5, 0.8033070616550807, 0.7890700484160333, 0.6523493963845977, 0.7011336022628165, 0.863490186836425]","[10, 12, 0, 1, 2, 4, 7, 5, 9, 6, 8, 11, 3]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.08, 0.6666666666666666, 0.4265374578459766, 0.5734469946049648, 0.6263459547199091, 0.7142824008731259, 0.7786723271499796]","[10, 4, 0, 1, 5, 7, 6, 2, 9, 8, 11, 12, 3]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.07, 0.6666666666666666, 0.7101532028276173, 0.7446384377521826, 0.539413105207168, 0.5923120653221122, 0.6802485114753289]","[3, 4, 0, 1, 5, 7, 6, 2, 9, 8, 11, 10, 12]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.0, 0.6735667452476264, 0.5, 0.5316117382401353, 0.6020655158496812, 0.8558892333846961]","[12, 3, 0, 1, 2, 4, 7, 5, 9, 6, 8, 11, 10]"
"[0.5, 0.02, 0.05, 0.01, 0.12, 0.12, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.16666666666666666, 0.3738944272960604, 0.5, 0.5, 0.5180261940038691, 0.771849911538884]","[10, 12, 0, 2, 1, 7, 3, 5, 4, 9, 6, 8, 11]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.12, 0.08, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.16666666666666666, 0.7077276605559746, 0.4779662060126793, 0.5, 0.7317899235476943, 0.8377682632077267]","[10, 12, 3, 0, 5, 7, 2, 6, 9, 8, 11, 4, 1]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.12, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.3333333333333333, 0.02374010951522602, 0.5, 0.5, 0.6938684296725842, 0.7998467693326166]","[10, 12, 3, 0, 1, 7, 6, 2, 9, 8, 11, 4, 5]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.14, 0.07, 0.3333333333333333, 0.7193105411442957, 0.5, 0.5827759787320247, 0.6103999778770958, 0.7163783175371282]","[10, 12, 3, 0, 1, 2, 7, 5, 9, 6, 8, 11, 4]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.08, 0.5, 0.44227788625115255, 0.5, 0.523643896464273, 0.5874351812764508, 0.6296222361243053]","[10, 12, 3, 0, 1, 2, 4, 7, 5, 9, 6, 8, 11]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.5, 0.7522581340087223, 0.5, 0.5, 0.5502375515455423, 0.592424606393397]","[10, 3, 0, 1, 2, 4, 7, 5, 9, 6, 8, 11, 12]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.11, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.6666666666666666, 0.5021116181069374, 0.5, 0.5024421883016111, 0.8346298959853083, 0.8506303861812193]","[10, 12, 0, 2, 1, 7, 3, 5, 4, 9, 6, 8, 11]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.6666666666666666, 0.786525234175618, 0.5, 0.6641524703853793, 0.8005002620570667, 0.8165007522529777]","[11, 10, 12, 0, 2, 1, 7, 3, 5, 4, 9, 8, 6]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.0, 0.4187156400918563, 0.5, 0.48463741334711813, 0.5, 0.5006379035430291]","[11, 10, 12, 0, 2, 1, 7, 5, 4, 9, 6, 8, 3]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.12, 0.07, 0.0, 0.6684390618256657, 0.5, 0.5, 0.6483392063179417, 0.878534238833272]","[11, 10, 12, 0, 2, 7, 1, 5, 3, 9, 4, 8, 6]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.04, 0.01, 0.06, 0.12, 0.12, 0.07, 0.0, 0.9581502403934792, 0.5, 0.6135738648898041, 0.6435406754978612, 0.8437688974051344]","[11, 12, 0, 2, 1, 7, 3, 5, 4, 9, 6, 8, 10]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.07, 0.12, 0.12, 0.07, 0.16666666666666666, 0.6589506600694222, 0.5, 0.5294778145286909, 0.5594446251367481, 0.7505369416582107]","[11, 10, 12, 0, 2, 1, 3, 5, 4, 9, 6, 8, 7]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.16666666666666666, 0.9734546592881088, 0.5, 0.5217041452305057, 0.7127964617519683, 0.9071691926030689]","[11, 10, 12, 0, 2, 1, 7, 3, 5, 4, 6, 8, 9]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.3333333333333333, 0.6996601052151163, 0.5, 0.6256518082407274, 0.820024539091828, 0.8219034703577199]","[10, 12, 0, 2, 1, 7, 3, 5, 4, 9, 6, 8, 11]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.09, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.3333333333333333, 0.9693752147510774, 0.5932859950964121, 0.7876587259475127, 0.7895376572134046, 0.8635234202403808]","[11, 10, 12, 0, 2, 7, 1, 5, 3, 9, 4, 8, 6]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.11, 0.07, 0.09, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.5, 0.6908436555471175, 0.6938255389320693, 0.5067097822008872, 0.7010825130519879, 0.776947207344856]","[6, 12, 11, 0, 2, 10, 7, 1, 8, 5, 9, 3, 4]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.09, 0.03, 0.01, 0.06, 0.13, 0.13, 0.07, 0.6666666666666666, 0.749441535963039, 0.5768989219318974, 0.5637836211133981, 0.5667937932821587, 0.6499154616949454]","[6, 11, 10, 12, 0, 2, 7, 1, 5, 9, 4, 8, 3]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.11, 0.07, 0.1, 0.03, 0.01, 0.07, 0.12, 0.13, 0.07, 0.0, 0.6372787870095635, 0.5, 0.5, 0.6336187352043635, 0.8658892333846961]","[6, 12, 0, 2, 1, 7, 3, 5, 4, 9, 8, 11, 10]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.0, 0.9507571086102568, 0.5, 0.5, 0.5960013366122803, 0.8282718347926129]","[10, 12, 4, 0, 1, 5, 7, 2, 6, 8, 11, 3, 9]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.16666666666666666, 0.5901962655258709, 0.5, 0.5192686377824066, 0.7515391359627392, 0.8478796152472206]","[10, 12, 0, 1, 2, 4, 7, 5, 9, 6, 8, 11, 3]"
"[0.5, 0.03, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.16666666666666666, 0.9738350890089956, 0.5, 0.6322693581080239, 0.7055024771447642, 0.8018429564292455]","[10, 12, 0, 2, 1, 7, 3, 5, 4, 9, 6, 8, 11]"
"[0.5, 0.02, 0.05, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.3333333333333333, 0.6318807030499253, 0.5, 0.5533038844231123, 0.6265370034598527, 0.7228774827443339]","[10, 12, 3, 2, 1, 7, 4, 5, 9, 6, 8, 11, 0]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.08, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.08, 0.3333333333333333, 0.9505785246501546, 0.5882932648678252, 0.5150601458310848, 0.6621407753255698, 0.6846337441523065]","[10, 12, 0, 3, 2, 7, 4, 5, 9, 6, 8, 11, 1]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.08, 0.5, 0.5854615203731252, 0.598649038956064, 0.5121073053810687, 0.5859548158388134, 0.8476935233717814]","[10, 3, 4, 0, 1, 7, 6, 2, 9, 8, 11, 12, 5]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.12, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.5, 0.8724430407416245, 0.8132557409275614, 0.5515170333945935, 0.5642112565118441, 0.6500252077742698]","[10, 3, 0, 1, 2, 4, 7, 5, 9, 6, 8, 11, 12]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.6666666666666666, 0.5786658003677682, 0.5652784766191326, 0.6475521477104484, 0.7285090097724242, 0.8761275016284344]","[10, 12, 3, 0, 1, 2, 7, 5, 9, 6, 8, 11, 4]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.11, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.8333333333333334, 0.00938673213962223, 0.5916536827420714, 0.51359196480651, 0.6768224979598016, 0.8244409898158119]","[10, 12, 0, 2, 1, 7, 3, 5, 4, 9, 6, 8, 11]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.12, 0.07, 0.0, 0.6048653488257211, 0.5129835558134801, 0.5, 0.5260123121035213, 0.6137864137537327]","[11, 10, 12, 0, 2, 1, 7, 3, 5, 4, 9, 8, 6]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.0, 0.9007061528257813, 0.5, 0.5, 0.5689338030992803, 0.6470170736017462]","[11, 12, 0, 2, 1, 7, 3, 5, 4, 9, 6, 8, 10]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.09, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.16666666666666666, 0.4957990452636902, 0.4975226560067313, 0.5, 0.5756059265091972, 0.824478086292147]","[11, 10, 12, 0, 2, 7, 1, 5, 3, 9, 4, 8, 6]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.09, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.16666666666666666, 0.8883014793806675, 0.5285056344151599, 0.5, 0.6354176779877162, 0.7682418888122993]","[6, 12, 11, 0, 2, 10, 7, 1, 8, 5, 9, 3, 4]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.1, 0.07, 0.09, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.3333333333333333, 0.6141143612940141, 0.5483201321581146, 0.5, 0.5830739184898994, 0.6811443429826977]","[6, 12, 11, 0, 2, 10, 7, 1, 8, 5, 9, 3, 4]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.1, 0.07, 0.09, 0.03, 0.01, 0.07, 0.12, 0.12, 0.07, 0.3333333333333333, 0.913400100672637, 0.5471596297644646, 0.5124058434326798, 0.6382769739638389, 0.645230054257263]","[4, 6, 2, 0, 12, 11, 7, 1, 10, 8, 5, 9, 3]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.1, 0.07, 0.09, 0.03, 0.01, 0.06, 0.13, 0.13, 0.07, 0.5, 0.5943239625818629, 0.5565661105347317, 0.5, 0.5635191908281558, 0.6069006304542199]","[4, 6, 12, 2, 0, 11, 10, 7, 1, 8, 5, 3, 9]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.1, 0.07, 0.09, 0.03, 0.01, 0.06, 0.13, 0.13, 0.07, 0.5, 0.8609870560433895, 0.5315196196127726, 0.5205467409495759, 0.5707863050021115, 0.892612742861711]","[4, 6, 12, 0, 2, 1, 7, 5, 9, 8, 11, 10, 3]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.1, 0.07, 0.09, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.6666666666666666, 0.48320467115657567, 0.5, 0.5, 0.6187092900021526, 0.8179466290481286]","[4, 6, 12, 0, 2, 7, 1, 5, 3, 9, 8, 11, 10]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.1, 0.07, 0.09, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.6666666666666666, 0.8923886516280012, 0.5, 0.5696072123455815, 0.7688445513915576, 0.8376512503423146]","[4, 6, 12, 0, 2, 10, 7, 1, 8, 5, 9, 3, 11]"
"[0.5, 0.02, 0.04, 0.01, 0.11, 0.1, 0.07, 0.09, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.0, 0.5159011033686814, 0.5, 0.5, 0.522829756133433, 0.5904194533502596]","[4, 6, 2, 0, 12, 11, 7, 1, 10, 8, 5, 9, 3]"
"[0.5, 0.02, 0.04, 0.01, 0.11, 0.11, 0.07, 0.1, 0.03, 0.01, 0.05, 0.12, 0.12, 0.07, 0.0, 0.8397781171452152, 0.5, 0.5, 0.5, 0.5515542116970755]","[4, 3, 6, 2, 0, 12, 7, 1, 8, 11, 10, 5, 9]"
"[0.5, 0.02, 0.04, 0.01, 0.11, 0.11, 0.07, 0.09, 0.03, 0.01, 0.05, 0.12, 0.12, 0.07, 0.16666666666666666, 0.4514603160569095, 0.5, 0.5, 0.6465923326818666, 0.8612406623512289]","[9, 3, 2, 0, 12, 11, 7, 10, 1, 8, 5, 4, 6]"
"[0.5, 0.02, 0.04, 0.01, 0.11, 0.1, 0.08, 0.09, 0.03, 0.01, 0.05, 0.13, 0.12, 0.07, 0.16666666666666666, 0.8266736776795369, 0.5, 0.5, 0.6015667292871513, 0.8061848468129756]","[9, 3, 6, 2, 0, 12, 7, 1, 11, 8, 10, 5, 4]"
"[0.5, 0.02, 0.04, 0.01, 0.11, 0.11, 0.07, 0.09, 0.03, 0.01, 0.05, 0.14, 0.12, 0.07, 0.3333333333333333, 0.480222944981809, 0.5, 0.5231408172108786, 0.5917455522432283, 0.727758934736703]","[9, 3, 4, 6, 2, 0, 12, 11, 7, 1, 8, 10, 5]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.09, 0.03, 0.01, 0.05, 0.13, 0.12, 0.07, 0.3333333333333333, 0.767828104431222, 0.5, 0.5, 0.5572329331092988, 0.6932463156027734]","[9, 3, 6, 11, 12, 0, 2, 7, 1, 5, 8, 4, 10]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.09, 0.03, 0.01, 0.05, 0.12, 0.12, 0.08, 0.5, 0.3776571584042661, 0.5, 0.6200668291260081, 0.645432608032279, 0.8135738415221203]","[9, 6, 11, 12, 0, 2, 7, 1, 5, 8, 3, 4, 10]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.09, 0.03, 0.01, 0.05, 0.12, 0.13, 0.07, 0.5, 0.6693032691091503, 0.7785763082375342, 0.585069295841422, 0.6104350747476929, 0.8608917001001101]","[9, 6, 11, 10, 0, 2, 7, 1, 5, 8, 3, 4, 12]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.11, 0.07, 0.09, 0.03, 0.01, 0.05, 0.12, 0.12, 0.08, 0.6666666666666666, 0.383267658128716, 0.5209229381300975, 0.4993935691590741, 0.6929005815551864, 0.7752159734177622]","[9, 6, 12, 10, 0, 2, 7, 1, 5, 8, 3, 4, 11]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.09, 0.03, 0.01, 0.05, 0.12, 0.13, 0.08, 0.6666666666666666, 0.8225738323959982, 0.6454867985313467, 0.6401838406431125, 0.6675179700817534, 0.7133633271198778]","[9, 6, 11, 10, 0, 2, 7, 1, 5, 4, 8, 12, 3]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.09, 0.03, 0.01, 0.05, 0.12, 0.13, 0.07, 0.0, 0.43663654726060486, 0.5, 0.5, 0.7187338441468455, 0.8090077335037494]","[9, 6, 10, 0, 2, 7, 1, 5, 3, 4, 8, 11, 12]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.09, 0.03, 0.01, 0.05, 0.12, 0.12, 0.07, 0.0, 0.817777406378506, 0.5, 0.6729969410526974, 0.7632708304096013, 0.8690766652734601]","[9, 6, 12, 10, 0, 2, 7, 1, 5, 8, 3, 4, 11]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.1, 0.07, 0.09, 0.03, 0.01, 0.05, 0.14, 0.12, 0.07, 0.16666666666666666, 0.5096872920767055, 0.5899677547689134, 0.6802416441258174, 0.7764748581812091, 0.8317843820838243]","[9, 6, 2, 0, 12, 11, 7, 10, 1, 8, 5, 3, 4]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.1, 0.07, 0.09, 0.03, 0.01, 0.06, 0.13, 0.12, 0.07, 0.16666666666666666, 0.7769839283770731, 0.6481660477697733, 0.5578921584128693, 0.744399261825165, 0.7997087857277801]","[9, 4, 6, 11, 12, 0, 2, 7, 1, 5, 8, 3, 10]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.1, 0.07, 0.09, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.3333333333333333, 0.4041710469888737, 0.669136807591749, 0.5729035935363572, 0.7148737106858971, 0.8709414246757661]","[4, 6, 12, 11, 0, 2, 7, 1, 8, 5, 9, 3, 10]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.1, 0.07, 0.1, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.3333333333333333, 0.7651021368183137, 0.8276296938962332, 0.6258250768122161, 0.6715619799063642, 0.9031217174977791]","[4, 6, 2, 0, 12, 11, 7, 1, 10, 8, 5, 9, 3]"
"[0.5, 0.02, 0.05, 0.01, 0.12, 0.1, 0.07, 0.09, 0.03, 0.01, 0.06, 0.12, 0.12, 0.07, 0.5, 0.38271872585119127, 0.8290077268138338, 0.5517110861282708, 0.5974479892224189, 0.7535157032122879]","[4, 12, 11, 0, 2, 10, 7, 1, 8, 5, 9, 3, 6]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.08, 0.1, 0.04, 0.01, 0.06, 0.12, 0.13, 0.08, 0.6666666666666666, 0.5290640284902111, 0.6046579906108309, 0.6068183615097951, 0.6619364675426914, 0.6914462904971515]","[4, 6, 12, 2, 0, 11, 10, 7, 8, 5, 9, 3, 1]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.08, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.08, 0.6666666666666666, 0.885492091934187, 0.6191650999294143, 0.5576746698417991, 0.5640469938965179, 0.6486749228838744]","[10, 3, 4, 6, 1, 0, 2, 9, 8, 11, 12, 5, 7]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.08, 0.0, 0.6288285897744572, 0.5, 0.5, 0.656244430527513, 0.6639068439130278]","[10, 3, 4, 0, 1, 7, 6, 2, 9, 8, 11, 12, 5]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.08, 0.0, 0.9252694318244418, 0.5, 0.5, 0.6206715294815148, 0.6283339428670297]","[4, 6, 5, 1, 0, 7, 9, 2, 8, 11, 10, 12, 3]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.11, 0.03, 0.01, 0.06, 0.13, 0.14, 0.07, 0.16666666666666666, 0.536778891690119, 0.5, 0.5472903942976336, 0.5549528076831485, 0.6091368348978722]","[3, 4, 0, 1, 5, 7, 6, 2, 9, 8, 11, 10, 12]"
"[0.5, 0.02, 0.05, 0.02, 0.12, 0.11, 0.07, 0.11, 0.03, 0.01, 0.06, 0.13, 0.13, 0.08, 0.16666666666666666, 0.9282947995640521, 0.5, 0.5003084853527616, 0.5621549259530002, 0.8678316594227362]","[12, 3, 4, 5, 1, 0, 7, 9, 2, 8, 10, 6, 11]"
"[0.5, 0.02, 0.05, 0.01, 0.12, 0.11, 0.07, 0.11, 0.03, 0.01, 0.06, 0.13, 0.13, 0.08, 0.3333333333333333, 0.5720175273139224, 0.5, 0.5, 0.5, 0.7810123112842848]","[3, 4, 5, 9, 0, 7, 11, 10, 8, 12, 6, 1, 2]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.11, 0.07, 0.11, 0.03, 0.01, 0.06, 0.14, 0.13, 0.08, 0.3333333333333333, 0.8891685345979568, 0.5, 0.5, 0.6281863096534289, 0.7429541904102007]","[3, 4, 5, 0, 9, 7, 2, 11, 10, 8, 12, 6, 1]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.12, 0.07, 0.11, 0.03, 0.01, 0.06, 0.13, 0.13, 0.08, 0.5, 0.5074377036041066, 0.5, 0.5, 0.5539940093726909, 0.6687618901294627]","[4, 5, 1, 9, 0, 7, 2, 11, 8, 3, 12, 6, 10]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.12, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.08, 0.5, 0.7912904221466306, 0.5, 0.5199316831475881, 0.6346995639043598, 0.8711786213340383]","[5, 1, 9, 0, 7, 2, 11, 10, 8, 3, 12, 4, 6]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.11, 0.08, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.08, 0.6666666666666666, 0.5395534216938055, 0.5, 0.5449080039586989, 0.6041638169723592, 0.7813870613883773]","[6, 5, 1, 0, 9, 7, 2, 11, 10, 8, 12, 3, 4]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.08, 0.6666666666666666, 0.8250441322901073, 0.569904931700803, 0.6399323774177174, 0.7471281761168211, 0.9050788730801651]","[4, 6, 1, 0, 9, 7, 2, 11, 10, 8, 12, 3, 5]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.11, 0.03, 0.01, 0.06, 0.13, 0.13, 0.08, 0.0, 0.45390074133986974, 0.5896160799941935, 0.5, 0.5, 0.5982126409633202]","[4, 6, 5, 1, 0, 7, 9, 2, 8, 11, 10, 12, 3]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.14, 0.08, 0.0, 0.7065063883780264, 0.5, 0.5593034023496147, 0.5678999633187414, 0.6522052924371746]","[3, 4, 5, 1, 0, 7, 9, 2, 8, 11, 10, 12, 6]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.08, 0.16666666666666666, 0.4197001619274185, 0.5, 0.5, 0.5666220396112476, 0.6459327264293825]","[3, 4, 6, 5, 1, 0, 7, 9, 2, 8, 10, 12, 11]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.07, 0.16666666666666666, 0.7005928319643621, 0.5, 0.5329149192068143, 0.6080136528691946, 0.871533827154708]","[3, 4, 0, 1, 5, 7, 6, 2, 9, 8, 11, 10, 12]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.11, 0.08, 0.1, 0.03, 0.01, 0.06, 0.12, 0.13, 0.07, 0.3333333333333333, 0.0009550330651109107, 0.5, 0.5719701887371048, 0.8354903630226181, 0.8787701042355184]","[12, 3, 0, 1, 2, 4, 7, 5, 9, 6, 8, 11, 10]"
"[0.5, 0.02, 0.04, 0.01, 0.12, 0.12, 0.07, 0.1, 0.03, 0.01, 0.07, 0.12, 0.13, 0.07, 0.3333333333333333, 0.6237201083082861, 0.5, 0.5, 0.7607585539934371, 0.7944656743978703]","[10, 12, 3, 0, 1, 2, 4, 7, 9, 6, 8, 11, 5]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.12, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.07, 0.3333333333333333, 0.950325908358233, 0.5, 0.6309787683135073, 0.7215658579874434, 0.7552729783918767]","[10, 12, 3, 0, 1, 5, 7, 2, 6, 8, 11, 4, 9]"
"[0.5, 0.03, 0.04, 0.01, 0.13, 0.11, 0.08, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.07, 0.5, 0.6845293181198334, 0.5, 0.5428743591421152, 0.6334614488160514, 0.6671685692204846]","[12, 6, 5, 1, 0, 7, 9, 2, 8, 11, 10, 3, 4]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.11, 0.08, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.07, 0.5, 0.993840156279172, 0.5963441482369308, 0.5057570585629947, 0.630051268641364, 0.6370739621101529]","[12, 4, 6, 1, 9, 7, 2, 11, 10, 8, 3, 5, 0]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.12, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.07, 0.6666666666666666, 0.6558741370551312, 0.8342696289609739, 0.5075483563693706, 0.550607190948249, 0.5576298844170379]","[12, 4, 6, 1, 0, 7, 9, 2, 8, 11, 10, 3, 5]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.11, 0.07, 0.11, 0.03, 0.01, 0.06, 0.13, 0.14, 0.07, 0.0, 0.6341516116047691, 0.5, 0.5, 0.5755158631114682, 0.6693015052204646]","[12, 6, 5, 1, 0, 7, 9, 2, 8, 11, 10, 3, 4]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.11, 0.07, 0.11, 0.03, 0.01, 0.06, 0.13, 0.13, 0.07, 0.16666666666666666, 0.34268089635012683, 0.5, 0.5, 0.5, 0.5842779910510216]","[12, 4, 5, 1, 0, 9, 7, 2, 10, 8, 3, 6, 11]"
"[0.5, 0.02, 0.04, 0.01, 0.13, 0.11, 0.07, 0.1, 0.03, 0.01, 0.06, 0.13, 0.13, 0.07, 0.16666666666666666, 0.6306756613175821, 0.5, 0.5, 0.549718619254927, 0.8706815757630466]","[12, 4, 5, 1, 0, 7, 9, 2, 8, 11, 10, 3, 6]"
