,obs,action
30,"[0.5, 0.01, 0.01, 0.0, 0.03, 0.03, 0.02, 0.03, 0.01, 0.0, 0.01, 0.04, 0.03, 0.02, 0.3333333333333333, 0.7998378333231292, 0.5, 0.5591455311074821, 0.8265713132257383, 0.8546017171642677]",[ 9 11  3  2  8  1  4 12  5  7  6  0 10]
31,"[0.5, 0.01, 0.01, 0.0, 0.03, 0.03, 0.02, 0.04, 0.01, 0.0, 0.01, 0.04, 0.03, 0.03, 0.5, 0.49187732489041497, 0.5, 0.743526574237664, 0.7715569781761934, 0.894144610124352]",[ 9 11  2  3  8  1  4 12  5  7  6  0 10]
32,"[0.5, 0.01, 0.01, 0.0, 0.04, 0.03, 0.02, 0.03, 0.01, 0.0, 0.01, 0.04, 0.04, 0.03, 0.5, 0.8164251895620348, 0.5, 0.7045808304770697, 0.732611234415599, 0.8551988663637576]",[ 9 11  3  2  8  4  1  5  7 10  0 12  6]
33,"[0.5, 0.01, 0.01, 0.0, 0.04, 0.03, 0.02, 0.03, 0.01, 0.0, 0.01, 0.04, 0.04, 0.02, 0.6666666666666666, 0.46366463365585275, 0.6269120971858115, 0.6372543436318188, 0.6549425011243408, 0.7775301330724994]",[ 9  4  2  8  1  5  6  7 11 10  3  0 12]
34,"[0.5, 0.01, 0.01, 0.0, 0.04, 0.03, 0.02, 0.03, 0.01, 0.0, 0.01, 0.04, 0.04, 0.02, 0.0, 0.6698190608740239, 0.5, 0.5, 0.73020819320452, 0.8627090943499729]",[ 9  2  8  4  1 12  5  6  7 11 10  0  3]
35,"[0.5, 0.01, 0.01, 0.0, 0.03, 0.04, 0.02, 0.03, 0.01, 0.0, 0.01, 0.04, 0.04, 0.02, 0.16666666666666666, 0.0026976577150132166, 0.5, 0.5, 0.6902627615836013, 0.8227636627290542]",[ 9  2  8  4  1 12  5  6  7 11 10  0  3]
36,"[0.5, 0.01, 0.01, 0.0, 0.03, 0.03, 0.02, 0.03, 0.01, 0.0, 0.01, 0.04, 0.04, 0.02, 0.16666666666666666, 0.7875858649480278, 0.5, 0.5960761767156396, 0.6207364920551152, 0.7285770778610925]",[ 9  3  2  8  1 12  5  6  7 11 10  0  4]
37,"[0.5, 0.01, 0.01, 0.0, 0.03, 0.03, 0.02, 0.03, 0.01, 0.0, 0.01, 0.04, 0.05, 0.02, 0.3333333333333333, 0.4716199236922118, 0.5, 0.5139920896663375, 0.5386524050058131, 0.6464929908117903]",[ 9  3  2  8  1  4 12  5  7  6  0 11 10]
38,"[0.5, 0.01, 0.01, 0.0, 0.04, 0.03, 0.02, 0.03, 0.01, 0.0, 0.02, 0.05, 0.05, 0.02, 0.3333333333333333, 0.9619203527462238, 0.5, 0.5876569393253089, 0.6919132482821567, 0.9296254869750566]",[ 9  3  2  8  4  1 12  5  6  7 10  0 11]
39,"[0.5, 0.01, 0.01, 0.0, 0.05, 0.04, 0.02, 0.03, 0.01, 0.0, 0.02, 0.04, 0.05, 0.02, 0.5, 0.6442806852207354, 0.5, 0.5, 0.6100300083852153, 0.8477422470781153]",[ 4 12  2  1  5  8  6  7  9  3  0 11 10]
40,"[0.5, 0.01, 0.01, 0.0, 0.04, 0.04, 0.03, 0.03, 0.01, 0.0, 0.02, 0.04, 0.05, 0.03, 0.6666666666666666, 0.0014685509531110104, 0.5, 0.5671674644973302, 0.8048797031902302, 0.945598994573653]",[12  1  5  2  6  8 10  7  9  4  0 11  3]
41,"[0.5, 0.01, 0.02, 0.0, 0.04, 0.04, 0.03, 0.04, 0.01, 0.0, 0.02, 0.04, 0.04, 0.03, 0.6666666666666666, 0.7577766477824449, 0.5, 0.5, 0.7141227315707102, 0.8548420229541329]",[ 6  1  2 10  8  3  9  7  4  0 12  5 11]
42,"[0.5, 0.01, 0.01, 0.0, 0.04, 0.04, 0.03, 0.04, 0.01, 0.0, 0.02, 0.04, 0.04, 0.03, 0.0, 0.4708844665885484, 0.5, 0.6406043489530987, 0.7071366127212002, 0.8358315149126235]",[11 10  2  3  8  9  7  4  0 12  6  5  1]
43,"[0.5, 0.01, 0.01, 0.0, 0.05, 0.04, 0.02, 0.05, 0.01, 0.0, 0.02, 0.04, 0.04, 0.03, 0.0, 0.8377975288786482, 0.5965747814782867, 0.6631070452463882, 0.6659337461346558, 0.7918019474378116]",[ 1  2 11 10  8  3  9  7  4  0 12  6  5]
44,"[0.5, 0.01, 0.01, 0.0, 0.05, 0.04, 0.02, 0.04, 0.01, 0.0, 0.02, 0.04, 0.04, 0.03, 0.16666666666666666, 0.4981318908161351, 0.5838669218138898, 0.5173346580457883, 0.5866936227021574, 0.7125618240053132]",[ 5 11 10  1  2  8  9  7  4  0 12  3  6]
45,"[0.5, 0.01, 0.01, 0.0, 0.04, 0.04, 0.02, 0.04, 0.01, 0.0, 0.03, 0.04, 0.04, 0.03, 0.16666666666666666, 0.8492416970781752, 0.6704286472538683, 0.536773981748836, 0.5445604459507126, 0.6683413759157781]",[ 5  1  2 11 10  8  9  7  4  0 12  6  3]
46,"[0.5, 0.01, 0.01, 0.0, 0.04, 0.04, 0.02, 0.05, 0.01, 0.0, 0.02, 0.05, 0.05, 0.03, 0.3333333333333333, 0.578528614194956, 0.5808269458617644, 0.5829142171998547, 0.6677109378405123, 0.6740188647666469]",[ 5  1  2 11 10  8  3  7  4  0 12  6  9]
